  100%	-23
   99%	0.0491331
   98%	0.612639
   97%	1.10849
   96%	1.45555
   95%	1.80261
   94%	2.12533
   93%	2.41595
   92%	2.70657
   91%	2.99719
   90%	3.28392
   89%	3.57062
   88%	3.85731
   87%	4.15099
   86%	4.45157
   85%	4.75216
   84%	5.05569
   83%	5.37307
   82%	5.69046
   81%	6.00823
   80%	6.34136
   79%	6.67449
   78%	7.00795
   77%	7.35508
   76%	7.70222
   75%	8.05122
   74%	8.41149
   73%	8.77177
   72%	9.13651
   71%	9.50898
   70%	9.88145
   69%	10.2624
   68%	10.6472
   67%	11.0331
   66%	11.4305
   65%	11.8278
   64%	12.2322
   63%	12.6419
   62%	13.0532
   61%	13.4758
   60%	13.8984
   59%	14.3313
   58%	14.7674
   57%	15.2099
   56%	15.6596
   55%	16.1126
   54%	16.5763
   53%	17.0412
   52%	17.519
   51%	17.9969
   50%	18.4891
   49%	18.9814
   48%	19.4878
   47%	19.9948
   46%	20.5176
   45%	21.0419
   44%	21.581
   43%	22.1236
   42%	22.6786
   41%	23.2413
   40%	23.8149
   39%	24.4007
   38%	24.9922
   37%	25.6016
   36%	26.2186
   35%	26.8496
   34%	27.4979
   33%	28.1562
   32%	28.8293
   31%	29.5204
   30%	30.2253
   29%	30.9467
   28%	31.6915
   27%	32.4539
   26%	33.2368
   25%	34.0437
   24%	34.8794
   23%	35.7414
   22%	36.6329
   21%	37.5569
   20%	38.5152
   19%	39.5119
   18%	40.5516
   17%	41.6381
   16%	42.7774
   15%	43.9756
   14%	45.2486
   13%	46.5948
   12%	48.0212
   11%	49.5646
   10%	51.222
    9%	53.024
    8%	55.0086
    7%	57.2231
    6%	59.7276
    5%	62.6308
    4%	66.095
    3%	70.456
    2%	76.4
    1%	86.0788
    0%	219
