  100%	-30
   99%	-24.6222
   98%	-21.3904
   97%	-19.0602
   96%	-17.2364
   95%	-15.7235
   94%	-14.4311
   93%	-13.3116
   92%	-12.3107
   91%	-11.4091
   90%	-10.5869
   89%	-9.82972
   88%	-9.12723
   87%	-8.47258
   86%	-7.85873
   85%	-7.27867
   84%	-6.72811
   83%	-6.20516
   82%	-5.70685
   81%	-5.22992
   80%	-4.77168
   79%	-4.33132
   78%	-3.90732
   77%	-3.49578
   76%	-3.09669
   75%	-2.70954
   74%	-2.33286
   73%	-1.96523
   72%	-1.60704
   71%	-1.25716
   70%	-0.914987
   69%	-0.579508
   68%	-0.248996
   67%	0.0760603
   66%	0.396522
   65%	0.711449
   64%	1.02234
   63%	1.33038
   62%	1.63634
   61%	1.93899
   60%	2.23852
   59%	2.53702
   58%	2.83444
   57%	3.13034
   56%	3.42595
   55%	3.7205
   54%	4.01458
   53%	4.30907
   52%	4.60449
   51%	4.90021
   50%	5.19628
   49%	5.49487
   48%	5.79451
   47%	6.09663
   46%	6.4002
   45%	6.70706
   44%	7.0163
   43%	7.32828
   42%	7.64442
   41%	7.96356
   40%	8.28745
   39%	8.61429
   38%	8.94816
   37%	9.28612
   36%	9.6297
   35%	9.97898
   34%	10.3351
   33%	10.6972
   32%	11.067
   31%	11.4446
   30%	11.8312
   29%	12.2261
   28%	12.631
   27%	13.0468
   26%	13.4728
   25%	13.9107
   24%	14.3613
   23%	14.8253
   22%	15.3076
   21%	15.8053
   20%	16.3202
   19%	16.8539
   18%	17.4086
   17%	17.9901
   16%	18.5999
   15%	19.2391
   14%	19.9141
   13%	20.6295
   12%	21.3883
   11%	22.2028
   10%	23.0819
    9%	24.0361
    8%	25.0853
    7%	26.2534
    6%	27.5764
    5%	29.109
    4%	30.936
    3%	33.2358
    2%	36.3724
    1%	41.5072
    0%	219.8
